                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.61657,                0.30517,                 0.8539,                0.99768,                0.99885,                0.99487,                0.91092,                0.57492,                0.23606,                  0.825,              0.0067516,              0.0067516,              0.0067516
                     86,                 0.6103,                 0.3065,                0.85399,                0.99777,                0.99872,                0.99494,                0.91037,                0.57147,                0.23995,                0.82645,              0.0067129,              0.0067129,              0.0067129
                     87,                0.61612,                0.30892,                 0.8562,                0.99748,                0.99743,                0.99489,                0.91484,                0.54552,                0.23461,                0.82197,              0.0066742,              0.0066742,              0.0066742
                     88,                0.61205,                0.30478,                0.85485,                 0.9969,                0.99858,                0.99484,                0.90609,                0.58519,                0.23771,                0.82712,              0.0066355,              0.0066355,              0.0066355
                     89,                0.61412,                0.30535,                0.85541,                0.99717,                0.99801,                0.99488,                0.90818,                0.56744,                0.23436,                0.82486,              0.0065969,              0.0065969,              0.0065969
                     90,                0.61116,                0.30453,                0.85514,                0.99763,                0.99816,                0.99482,                0.90921,                0.57926,                0.23696,                0.82664,              0.0065582,              0.0065582,              0.0065582
                     91,                0.61017,                0.30164,                0.85263,                0.99818,                0.99797,                0.99492,                0.90949,                0.57973,                0.23523,                0.82658,              0.0065195,              0.0065195,              0.0065195
                     92,                0.60988,                0.30154,                0.85526,                0.99679,                0.99882,                0.99476,                0.91139,                0.56222,                0.23356,                 0.8246,              0.0064809,              0.0064809,              0.0064809
                     93,                0.60486,                0.30062,                0.85327,                0.99795,                0.99812,                0.99484,                0.90801,                0.57791,                0.23578,                 0.8265,              0.0064422,              0.0064422,              0.0064422
                     94,                0.60248,                0.29865,                0.85355,                 0.9974,                0.99858,                0.99483,                0.90678,                0.56919,                0.23301,                0.82511,              0.0064035,              0.0064035,              0.0064035
                     95,                0.60806,                 0.3021,                0.85355,                0.99783,                0.99785,                0.99491,                0.90813,                 0.5788,                 0.2373,                0.82588,              0.0063648,              0.0063648,              0.0063648
                     96,                0.60714,                0.30025,                0.85347,                0.99701,                0.99799,                0.99461,                0.91179,                0.56639,                 0.2351,                0.82422,              0.0063262,              0.0063262,              0.0063262
                     97,                0.60418,                0.29964,                0.85459,                0.99792,                0.99627,                0.99497,                 0.9027,                0.62449,                0.24391,                0.83209,              0.0062875,              0.0062875,              0.0062875
                     98,                0.60384,                0.29676,                 0.8538,                0.99715,                0.99729,                0.99446,                0.91151,                0.56274,                0.23086,                0.82336,              0.0062488,              0.0062488,              0.0062488
                     99,                0.60292,                0.29751,                0.85352,                0.99807,                0.99821,                0.99498,                0.91478,                0.55192,                 0.2294,                0.82259,              0.0062102,              0.0062102,              0.0062102
                    100,                0.59935,                0.29607,                0.85285,                0.99892,                0.99797,                0.99499,                 0.9056,                0.57568,                 0.2295,                 0.8256,              0.0061715,              0.0061715,              0.0061715
                    101,                0.60026,                0.29847,                0.85411,                0.99779,                0.99759,                0.99498,                0.90277,                0.59187,                0.23479,                0.82825,              0.0061328,              0.0061328,              0.0061328
                    102,                0.59625,                0.29573,                0.85211,                0.99822,                0.99735,                0.99497,                0.91296,                0.57081,                0.23172,                0.82481,              0.0060941,              0.0060941,              0.0060941
