                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.58832,                0.28799,                0.85711,                0.99815,                0.99892,                0.99494,                0.90916,                0.57269,                0.23471,                0.82113,              0.0065582,              0.0065582,              0.0065582
                     91,                0.58546,                0.28505,                0.85404,                0.99872,                0.99828,                0.99491,                0.90664,                 0.5819,                0.23054,                0.82668,              0.0065195,              0.0065195,              0.0065195
                     92,                0.58844,                0.28593,                0.85481,                0.99883,                 0.9982,                0.99498,                0.91532,                0.54415,                0.22571,                0.82104,              0.0064809,              0.0064809,              0.0064809
                     93,                 0.5835,                0.28341,                0.85241,                0.99813,                0.99788,                0.99483,                0.91311,                0.56142,                0.22639,                0.82212,              0.0064422,              0.0064422,              0.0064422
                     94,                0.58054,                0.28124,                0.85492,                0.99823,                0.99782,                0.99495,                0.91042,                0.55836,                0.22652,                0.82384,              0.0064035,              0.0064035,              0.0064035
                     95,                0.58619,                0.28468,                0.85364,                0.99848,                0.99854,                0.99471,                0.91282,                0.55244,                0.22471,                0.82125,              0.0063648,              0.0063648,              0.0063648
                     96,                 0.5852,                0.28399,                 0.8544,                0.99637,                0.99682,                0.99461,                0.91339,                0.56891,                0.23476,                0.82366,              0.0063262,              0.0063262,              0.0063262
                     97,                0.58348,                0.28448,                0.85667,                0.99813,                0.99792,                0.99487,                0.91441,                0.56377,                0.23278,                0.81936,              0.0062875,              0.0062875,              0.0062875
                     98,                0.58045,                0.28164,                0.85482,                0.99775,                0.99818,                0.99492,                0.91179,                 0.5585,                0.23017,                0.81972,              0.0062488,              0.0062488,              0.0062488
                     99,                0.57988,                0.28032,                0.85445,                0.99757,                0.99796,                0.99433,                0.90798,                0.56786,                0.22726,                0.82384,              0.0062102,              0.0062102,              0.0062102
                    100,                0.57887,                0.28044,                0.85447,                0.99813,                0.99783,                0.99487,                0.90966,                0.56808,                0.23068,                0.82471,              0.0061715,              0.0061715,              0.0061715
                    101,                0.57789,                0.28196,                 0.8547,                0.99791,                0.99886,                 0.9949,                0.91346,                0.56595,                0.22923,                0.82167,              0.0061328,              0.0061328,              0.0061328
                    102,                 0.5746,                0.28019,                0.85246,                0.99764,                0.99796,                0.99485,                0.91476,                0.54649,                0.22138,                0.82161,              0.0060941,              0.0060941,              0.0060941
