                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                  0.601,                0.29723,                0.85178,                0.99825,                0.99855,                0.99488,                0.91472,                0.56153,                0.23012,                0.82264,                0.00505,                0.00505,                0.00505
                    130,                 0.6006,                0.29801,                0.85027,                0.99828,                0.99826,                0.99488,                0.91181,                0.56718,                0.23372,                0.82369,              0.0050113,              0.0050113,              0.0050113
                    131,                0.59974,                0.29985,                0.85248,                0.99859,                0.99801,                 0.9949,                0.91384,                0.55802,                 0.2307,                0.82154,              0.0049727,              0.0049727,              0.0049727
                    132,                0.60042,                 0.2991,                0.85102,                0.99832,                0.99795,                0.99483,                0.91379,                0.56621,                0.23214,                0.82341,               0.004934,               0.004934,               0.004934
                    133,                0.59869,                0.29805,                0.85028,                0.99845,                0.99816,                0.99481,                0.91558,                0.54981,                0.22781,                0.82131,              0.0048953,              0.0048953,              0.0048953
                    134,                0.59851,                0.29837,                0.84978,                0.99867,                0.99851,                0.99469,                0.91307,                0.56064,                0.23011,                0.82193,              0.0048566,              0.0048566,              0.0048566
                    135,                0.59476,                0.29622,                0.85109,                0.99845,                0.99874,                0.99474,                0.92092,                0.52712,                0.22363,                0.81913,               0.004818,               0.004818,               0.004818
                    136,                0.59663,                0.29662,                0.85061,                0.99778,                0.99907,                0.99494,                0.91851,                 0.5378,                0.22324,                0.82025,              0.0047793,              0.0047793,              0.0047793
                    137,                0.59687,                0.29716,                0.84953,                0.99773,                0.99918,                0.99437,                0.91646,                0.54773,                0.22606,                0.82059,              0.0047406,              0.0047406,              0.0047406
                    138,                0.59381,                0.29461,                0.85058,                  0.999,                0.99881,                0.99487,                0.91794,                0.54214,                0.22335,                0.81934,               0.004702,               0.004702,               0.004702
                    139,                0.59283,                0.29239,                0.85045,                0.99911,                0.99888,                0.99478,                0.91656,                0.55945,                 0.2258,                0.82193,              0.0046633,              0.0046633,              0.0046633
                    140,                0.58926,                0.29308,                0.85112,                0.99774,                0.99742,                0.99481,                0.91537,                0.56546,                0.22742,                0.82249,              0.0046246,              0.0046246,              0.0046246
                    141,                0.58888,                0.29239,                0.85115,                0.99858,                0.99854,                0.99481,                0.91711,                0.55315,                0.22489,                0.82118,              0.0045859,              0.0045859,              0.0045859
                    142,                0.59311,                0.29431,                0.85062,                0.99812,                0.99844,                0.99483,                0.91308,                0.56711,                0.22808,                0.82261,              0.0045473,              0.0045473,              0.0045473
                    143,                0.59087,                0.29095,                0.84883,                0.99853,                0.99875,                0.99484,                0.91431,                0.55528,                0.22552,                0.82125,              0.0045086,              0.0045086,              0.0045086
                    144,                0.58724,                0.29162,                0.84943,                0.99837,                0.99777,                0.99492,                0.91552,                0.54943,                0.22405,                0.82007,              0.0044699,              0.0044699,              0.0044699
                    145,                0.59029,                 0.2923,                0.84947,                0.99888,                0.99845,                0.99488,                 0.9133,                0.55887,                0.22518,                0.82154,              0.0044313,              0.0044313,              0.0044313
                    146,                0.58703,                0.29032,                0.84916,                0.99805,                 0.9986,                0.99482,                0.91941,                0.53492,                0.22049,                0.81873,              0.0043926,              0.0043926,              0.0043926
                    147,                0.58769,                0.29233,                0.85216,                0.99779,                0.99861,                0.99486,                0.91577,                0.54684,                0.22112,                0.82031,              0.0043539,              0.0043539,              0.0043539
                    148,                0.58652,                0.28986,                 0.8494,                0.99822,                0.99901,                0.99487,                0.91426,                0.55667,                0.22171,                0.82111,              0.0043152,              0.0043152,              0.0043152
                    149,                0.58215,                0.28753,                0.84883,                0.99818,                0.99839,                0.99476,                0.91493,                0.55793,                0.22404,                0.82172,              0.0042766,              0.0042766,              0.0042766
                    150,                0.58596,                 0.2887,                0.84803,                0.99789,                0.99903,                0.99489,                0.91905,                0.54109,                0.22142,                0.81955,              0.0042379,              0.0042379,              0.0042379
                    151,                0.58198,                0.28877,                0.84922,                0.99855,                0.99885,                 0.9949,                0.91686,                0.55758,                0.22344,                0.82176,              0.0041992,              0.0041992,              0.0041992
                    152,                 0.5812,                 0.2877,                0.85034,                0.99826,                0.99859,                0.99494,                0.91556,                0.55959,                0.22487,                0.82196,              0.0041605,              0.0041605,              0.0041605
